UserID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
21,0.48855555,0.4297786,0.48337358,0.46295103,0.46461427,0.51224697,0.46408007,0.5900112,0.34987137,0.53579175,0.55710137,0.37178558,0.54892516,0.5174115,0.51307786,0.47357246,0.5044273,0.6127675,0.42190316,0.5689515,0.47276127,0.46280873,0.48082778,0.48872232,0.58673286,0.54541504,0.48116398,0.5621038,0.4565298,0.5908273,0.44931284,0.5228478,0.5010702,0.45756257,0.50229573,0.43345279,0.46293014,0.40354702,0.58403796,0.43669978,0.46902072,0.62400365,0.53095746,0.5672808,0.39382315,0.41953227,0.44328827,0.46345532,0.5659331,0.57165176,0.41434196,0.43102023,0.43039227,0.49987784,0.5846139,0.4791105,0.60461277,0.43708023,0.51798016,0.55114037,0.54132783,0.40566882,0.4863193,0.5196193
22,0.48805425,0.4358615,0.49137065,0.46175444,0.47529054,0.51319027,0.46361688,0.5854977,0.3505868,0.54249436,0.55823153,0.37867066,0.55258274,0.5222852,0.5159153,0.48537618,0.50834656,0.61026466,0.42339358,0.5687536,0.46629766,0.4739913,0.4741771,0.48886627,0.58459246,0.5409103,0.4879726,0.55633205,0.46015197,0.59005934,0.46036667,0.5237084,0.50022775,0.45221323,0.5143194,0.42988965,0.47299314,0.39390984,0.59144896,0.42621964,0.46116418,0.6320643,0.53491,0.5708978,0.38913178,0.42334917,0.42679083,0.45887733,0.56330633,0.58061457,0.41397366,0.43024558,0.42518234,0.49227655,0.5845135,0.47123104,0.6140935,0.43183634,0.51864755,0.54527426,0.5437764,0.40585017,0.48373437,0.52046466
23,0.4910876,0.4245491,0.4809364,0.46539608,0.46901914,0.5175741,0.46345317,0.5832494,0.35427457,0.5340868,0.55098265,0.37900513,0.5567322,0.51335484,0.51103854,0.4751887,0.51045156,0.61797994,0.41126165,0.5645297,0.47164288,0.4639539,0.47347668,0.4900851,0.58682746,0.54084706,0.4773456,0.56361526,0.45282447,0.59025836,0.46260056,0.52961963,0.49975884,0.4621985,0.5122324,0.43835643,0.4656134,0.38940665,0.58465934,0.43953085,0.4665505,0.62879336,0.53165925,0.57081234,0.3876682,0.42062956,0.44005516,0.46475342,0.56335634,0.5654875,0.4229699,0.42948437,0.4316007,0.49975598,0.58682275,0.4788168,0.6171839,0.428213,0.5163941,0.55154884,0.5298118,0.39982072,0.4835673,0.52503836
24,0.48746184,0.42898443,0.484581,0.46448445,0.46637568,0.51575327,0.4585363,0.59280753,0.35401598,0.53485215,0.55835426,0.37566814,0.55221117,0.51796913,0.51075745,0.47060776,0.5071022,0.6143969,0.4196702,0.56403947,0.4732168,0.46709123,0.47591937,0.4866238,0.5917509,0.5430663,0.48033836,0.5636749,0.45733306,0.59259504,0.44973928,0.51941955,0.503019,0.4606695,0.5045694,0.4343722,0.46281654,0.39993897,0.58392346,0.43437693,0.46623448,0.6238732,0.5273815,0.566576,0.39448318,0.4192455,0.43804732,0.46528488,0.5617544,0.57237893,0.4128501,0.43292448,0.42488378,0.5035165,0.58762693,0.4763621,0.6030404,0.43788362,0.5222777,0.5496818,0.53913194,0.40608335,0.48639148,0.5267604
25,0.48798382,0.42661473,0.4803781,0.46949747,0.4633114,0.5088824,0.46559343,0.5942124,0.35010323,0.5342682,0.55337,0.36904544,0.5574611,0.5187511,0.51690334,0.4755836,0.5078997,0.6114654,0.41750354,0.56171745,0.46472543,0.46832055,0.47324777,0.48682037,0.5974729,0.5478239,0.4779241,0.5586497,0.45698905,0.5907128,0.45005256,0.5259066,0.50131166,0.45578286,0.50498194,0.43308443,0.46377617,0.40391418,0.5822521,0.43032148,0.46360213,0.6242465,0.5292868,0.5705121,0.39373913,0.42097378,0.44105703,0.46550387,0.56514645,0.5777769,0.41146454,0.4355341,0.43479222,0.502371,0.58894694,0.47998595,0.60932624,0.43262655,0.5211342,0.55168146,0.5391765,0.4075805,0.49027276,0.5141439
26,0.49291888,0.4191364,0.49118012,0.46881792,0.47213113,0.50946414,0.47434312,0.60539365,0.34038895,0.5433845,0.54073703,0.3833958,0.56496143,0.51813877,0.5122649,0.47356772,0.51545036,0.6052321,0.42498592,0.5674936,0.47261882,0.45253438,0.4760926,0.47908303,0.5811937,0.5394353,0.4951631,0.5546327,0.4583093,0.5851596,0.44522637,0.5219043,0.50760704,0.44678956,0.5103969,0.43036816,0.4612581,0.40724882,0.581967,0.4450189,0.4580935,0.63474053,0.5167312,0.5820337,0.40174288,0.40917516,0.4381242,0.45050743,0.5712118,0.5755184,0.4228172,0.44251344,0.4257651,0.51069164,0.580056,0.4720108,0.60938954,0.4467214,0.5222783,0.5476884,0.5488398,0.39769074,0.487832,0.5184032
27,0.48738453,0.43011633,0.4841582,0.46284673,0.4690763,0.51417756,0.46495456,0.5887358,0.34735295,0.5338635,0.55597615,0.3773381,0.5514503,0.5179088,0.51394796,0.47585464,0.5078287,0.61292064,0.42236865,0.56489575,0.4674014,0.4635071,0.47956893,0.48767728,0.58806276,0.5422715,0.48563385,0.5588798,0.4562595,0.58881253,0.45256913,0.52797806,0.50115687,0.46041542,0.5057654,0.4345442,0.46257648,0.40447003,0.5824316,0.43343136,0.4655726,0.6246216,0.5294555,0.5727803,0.3923124,0.4138993,0.4370304,0.46297532,0.5662931,0.574617,0.41394117,0.43269563,0.42343855,0.5055631,0.5814111,0.4798275,0.60994583,0.43220946,0.5123479,0.55146027,0.5381599,0.40520793,0.4904264,0.52030724
28,0.48776755,0.4317407,0.4865546,0.47087422,0.46403491,0.5131243,0.46906263,0.5952742,0.3445437,0.53757054,0.5579936,0.37488103,0.553264,0.52062404,0.51614755,0.47745124,0.50534064,0.61360776,0.4201925,0.5613615,0.46978733,0.46453425,0.48040405,0.49083433,0.59039366,0.54651755,0.4847857,0.56313396,0.45741507,0.5852066,0.45034584,0.52110237,0.49823067,0.45645905,0.50896126,0.43567204,0.46187007,0.40279073,0.5905499,0.43570828,0.4682647,0.625155,0.5267376,0.56930315,0.3934313,0.42148772,0.44138896,0.46292055,0.565499,0.5720259,0.41251138,0.43195388,0.43087354,0.49608895,0.5808229,0.4793922,0.6077001,0.4335366,0.52252334,0.54950374,0.5387135,0.40598172,0.4843184,0.5224318
29,0.4936894,0.42493656,0.4802531,0.4672698,0.46928525,0.5083351,0.46391994,0.5950266,0.34541056,0.5396777,0.554073,0.37143385,0.54479927,0.52275807,0.5139614,0.47478083,0.50667256,0.6130385,0.42194143,0.56144243,0.4739543,0.4663618,0.4839592,0.4903304,0.5840843,0.54446316,0.48173946,0.55913126,0.46150517,0.5890982,0.45626146,0.52354246,0.50279534,0.46162832,0.50612766,0.43670577,0.46730724,0.4037635,0.5821106,0.43748876,0.4649425,0.62519586,0.5297569,0.57237184,0.39597422,0.4185736,0.43972614,0.459391,0.5707492,0.57342076,0.41936255,0.43984446,0.42301166,0.5027801,0.5833469,0.47970614,0.60445726,0.4324614,0.5270745,0.5509723,0.539043,0.4090799,0.48564324,0.5219352
30,0.48951066,0.42851508,0.48871294,0.46498695,0.46106198,0.5133111,0.46269262,0.589266,0.34673437,0.53455096,0.55288875,0.37593934,0.5496482,0.5163064,0.5124311,0.47472864,0.5093197,0.6144225,0.420293,0.56839275,0.47632408,0.46422833,0.4811996,0.48954877,0.58453256,0.5395464,0.48330495,0.55876386,0.45415652,0.5885828,0.45155463,0.52397376,0.5014142,0.45693758,0.5084832,0.4356775,0.464704,0.40558025,0.582917,0.43088743,0.46570343,0.62504315,0.5261546,0.56911236,0.3913637,0.4177672,0.4415269,0.46245804,0.5695131,0.5733546,0.4152449,0.43907452,0.4248706,0.500067,0.5811837,0.481544,0.60485256,0.4365277,0.51856124,0.55336785,0.53349715,0.40876308,0.4876762,0.5180013
