"file","method","embedding","k","nf","nu","runtime_sec","silhouette","ch","prob_silh","wss","n_obs","status","embedding_dim","embedding_label","model_id"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k3.rds","PD","user_embeddings_256",3,NA,NA,0.868901252746582,-0.00369478537538615,1.00114033006359,0.0290226313348598,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k3"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k4.rds","PD","user_embeddings_256",4,NA,NA,0.626185894012451,-0.00521062472752829,0.925462918136861,0.0176061260578779,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k4"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k5.rds","PD","user_embeddings_256",5,NA,NA,0.724687576293945,-0.021075087432823,1.06420666455634,0.0202890525185819,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k5"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k6.rds","PD","user_embeddings_256",6,NA,NA,0.848355293273926,-0.0124970746173986,1.01497087447621,0.0163051159328725,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k6"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k7.rds","PD","user_embeddings_256",7,NA,NA,0.921611309051514,-0.0168555371164275,0.957989039496432,0.0136223946623692,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k7"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/pd_user_embeddings_256_k8.rds","PD","user_embeddings_256",8,NA,NA,1.0466194152832,-0.016258648230106,0.888885280471777,0.00899935661342039,NA,6040,"ok",256,"256-dimensional","PD__user_embeddings_256__k8"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k2_nf2.rds","RKM","user_embeddings_64",2,2,NA,278.899392366409,0.235123010161809,132.290509310172,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k2__nf2"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k2_nf3.rds","RKM","user_embeddings_64",2,3,NA,305.482939243317,0.231437583356966,132.292828149409,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k2__nf3"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k2_nf4.rds","RKM","user_embeddings_64",2,4,NA,318.625461578369,0.232320188738033,132.296386820198,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k2__nf4"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k2_nf5.rds","RKM","user_embeddings_64",2,5,NA,340.744204044342,0.232127196491254,132.306028194095,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k2__nf5"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k3_nf2.rds","RKM","user_embeddings_64",3,2,NA,298.56058049202,0.152360591785455,111.487005439636,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k3__nf2"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k3_nf3.rds","RKM","user_embeddings_64",3,3,NA,313.993212461472,0.150874214978374,111.492928003962,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k3__nf3"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k3_nf4.rds","RKM","user_embeddings_64",3,4,NA,341.734735012054,0.154331077952029,111.493696415344,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k3__nf4"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k3_nf5.rds","RKM","user_embeddings_64",3,5,NA,370.545171737671,0.154542050972799,111.477404286869,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k3__nf5"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k4_nf2.rds","RKM","user_embeddings_64",4,2,NA,759.254960298538,-0.0107460079770439,96.5602710228313,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k4__nf2"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k4_nf3.rds","RKM","user_embeddings_64",4,3,NA,714.037764072418,-0.0112225260205183,96.932886459034,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k4__nf3"
"/content/drive/MyDrive/math252-project-colab-output/output/benchmark_cache/rkm_user_embeddings_64_k4_nf4.rds","RKM","user_embeddings_64",4,4,NA,723.812690258026,-0.0102041857046295,96.9370875796923,NA,NA,6040,"ok",64,"64-dimensional","RKM__user_embeddings_64__k4__nf4"
